Ridership_sum,M_CB_Count,M_CR_Count,M_DR_Count,M_MB_Count,M_VP_Count,M_LR_Count,M_OTHER_Count,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,P_UZA_SM_National,P_UZA_P_National,SA_SM_National,SA_P_National,Safety Risk Ratio
817866778,105,24,519.0,467.0,73,23,56,644.0,461.0,20,19,19,25,16,21,12,17,13,684.0,513.0,0,70,75993.0,202157134.0,159075.0,159075.0,0.4367338371871669
839946211,105,24,518.0,467.0,73,23,57,644.0,461.0,20,19,19,25,16,21,12,17,13,685.0,513.0,0,69,75993.0,202157134.0,159068.0,159068.0,0.4106195029420239
793610031,104,24,520.0,473.0,74,23,57,646.0,470.0,23,19,19,25,18,18,12,17,8,687.0,520.0,0,68,76364.0,202916229.0,163777.0,163777.0,0.5734564951648131
755784314,103,24,521.0,472.0,75,23,57,647.0,469.0,23,19,19,25,18,18,12,17,8,687.0,520.0,0,68,76364.0,202916229.0,163923.0,163923.0,0.48739488780925144
882252882,103,24,520.0,473.0,75,23,58,647.0,469.0,23,20,19,25,18,18,12,17,8,689.0,520.0,0,67,76364.0,202916229.0,163960.0,163960.0,0.5034390031404299
876075531,102,24,520.0,470.0,75,23,59,651.0,470.0,23,20,19,17,18,18,12,17,8,685.0,520.0,0,68,76302.0,202798901.0,162214.0,162214.0,0.45926201748474865
845524595,102,24,521.0,470.0,75,23,59,652.0,470.0,23,20,19,17,18,18,12,17,8,687.0,519.0,0,68,76302.0,202798901.0,162207.0,162207.0,0.513571438337973
851726807,102,24,521.0,470.0,75,23,59,652.0,470.0,23,20,19,17,18,18,12,17,8,687.0,519.0,0,68,76302.0,202798901.0,162207.0,162207.0,0.5359412255020454
862472423,103,24,524.0,474.0,75,23,60,665.0,471.0,24,20,19,17,16,18,13,17,3,688.0,528.0,0,67,76183.0,202864140.0,163733.0,163733.0,0.49314266183935634
813436113,102,24,524.0,474.0,75,23,60,665.0,470.0,24,20,19,17,16,18,13,17,3,688.0,527.0,0,67,76183.0,202864140.0,163733.0,163733.0,0.48578271201685064
871376960,102,24,524.0,474.0,75,23,60,665.0,469.0,25,20,19,17,16,18,13,17,3,688.0,527.0,0,67,76183.0,202864140.0,163741.0,163741.0,0.5333866233170862
927431261,101,24,523.0,475.0,75,23,60,664.0,466.0,25,21,18,17,20,18,13,17,2,687.0,528.0,0,66,76103.0,202717731.0,163674.0,163674.0,0.5336287125653201
823688833,103,24,522.0,475.0,75,23,60,663.0,468.0,25,21,18,17,20,18,13,17,2,687.0,529.0,0,66,76103.0,202717731.0,163582.0,163582.0,0.4654527763133802
825638019,103,24,522.0,475.0,75,23,60,663.0,468.0,25,21,18,17,20,18,13,17,2,687.0,529.0,0,66,76103.0,202717731.0,163582.0,163582.0,0.5095200828592622
770945073,102,24,522.0,477.0,75,23,60,667.0,470.0,26,21,18,17,20,17,13,14,0,685.0,531.0,0,67,76086.0,202684866.0,164942.0,164942.0,0.4822404805213009
807342878,102,24,522.0,477.0,75,23,61,667.0,470.0,26,22,18,17,20,17,13,14,0,685.0,532.0,0,67,76086.0,202684866.0,164925.0,164925.0,0.5050312422965156
881134617,102,24,522.0,477.0,75,23,61,667.0,470.0,26,22,18,17,20,17,13,14,0,685.0,532.0,0,67,76086.0,202684866.0,164925.0,164925.0,0.48217656425335265
844671448,102,25,522.0,477.0,75,23,61,668.0,470.0,26,22,18,17,20,17,13,14,0,684.0,534.0,0,67,76122.0,202746766.0,170769.0,170769.0,0.5133736498261977
853109990,102,25,522.0,476.0,75,23,62,667.0,471.0,26,22,18,17,20,17,13,14,0,682.0,536.0,0,67,76122.0,202746766.0,170794.0,170794.0,0.5086361620761815
840295503,102,25,521.0,476.0,75,23,62,666.0,471.0,26,22,18,17,20,17,13,14,0,681.0,536.0,0,67,76122.0,202746766.0,170780.0,170780.0,0.5001474646697276
781680712,102,25,522.0,475.0,74,23,61,666.0,469.0,26,21,18,17,22,17,12,14,0,689.0,525.0,0,68,76002.0,202411774.0,170788.0,170788.0,0.5366809562373569
836594120,102,25,522.0,474.0,74,23,61,666.0,468.0,26,21,18,17,22,17,12,14,0,689.0,524.0,0,68,76002.0,202411774.0,170828.0,170828.0,0.48674672417487413
857360898,102,25,522.0,475.0,74,23,62,666.0,469.0,26,21,18,17,22,17,13,14,0,689.0,526.0,0,68,76029.0,202464600.0,170854.0,170854.0,0.5106462309979846
862814956,101,25,523.0,475.0,76,23,62,667.0,468.0,28,21,18,17,22,17,13,14,0,692.0,526.0,0,67,76087.0,202535036.0,178823.0,178823.0,0.5274799856356466
814059062,101,25,523.0,473.0,77,23,62,667.0,468.0,28,21,18,17,22,17,12,14,0,692.0,525.0,0,67,76060.0,202482210.0,178796.0,178796.0,0.48962967332003565
781737055,101,25,523.0,473.0,77,23,62,667.0,468.0,28,21,18,17,22,17,12,14,0,692.0,525.0,0,67,76060.0,202482210.0,178796.0,178796.0,0.49510439227886743
777824699,98,25,524.0,468.0,77,23,62,665.0,465.0,28,21,18,17,22,15,12,14,0,683.0,526.0,0,68,76027.0,202410897.0,178935.0,178935.0,0.5092308684324083
753062872,98,25,524.0,468.0,78,23,62,666.0,465.0,28,21,18,17,22,15,12,14,0,682.0,528.0,0,68,76027.0,202410897.0,178940.0,178940.0,0.46353422684948287
860441323,98,25,525.0,469.0,78,23,62,667.0,466.0,28,21,18,17,22,15,12,14,0,682.0,529.0,0,69,76027.0,202410897.0,178906.0,178906.0,0.4671775941447876
808507511,98,25,526.0,469.0,80,23,62,669.0,466.0,28,22,18,17,22,15,12,14,0,683.0,531.0,0,69,76027.0,202410897.0,178997.0,178997.0,0.4532664172329462
848916766,97,25,525.0,469.0,80,23,63,667.0,466.0,28,22,18,17,23,15,12,14,0,683.0,531.0,0,68,76027.0,202410897.0,178869.0,178869.0,0.45865829315715173
815059374,97,25,525.0,468.0,81,23,63,666.0,467.0,28,22,18,17,23,15,12,14,0,683.0,531.0,0,68,76027.0,202410897.0,178869.0,178869.0,0.5230772830335912
763154252,95,26,526.0,469.0,81,23,63,669.0,468.0,28,22,18,17,21,15,12,13,0,678.0,536.0,0,69,76169.0,202582552.0,182944.0,182944.0,0.4639029106971176
809732938,95,26,526.0,470.0,80,23,63,669.0,469.0,28,22,18,17,21,15,12,12,0,676.0,538.0,0,69,76169.0,202582552.0,182943.0,182943.0,0.5126839238649042
819296129,94,26,526.0,470.0,81,23,63,669.0,467.0,29,22,18,17,21,15,13,12,0,674.0,540.0,0,69,76196.0,202635378.0,182914.0,182914.0,0.5076914343043513
884719529,93,26,523.0,471.0,82,23,63,673.0,470.0,24,22,18,17,18,15,13,11,0,669.0,543.0,0,69,76048.0,202423317.0,180517.0,180517.0,0.49961501543979
806273561,92,26,523.0,471.0,81,23,63,673.0,469.0,24,22,17,17,18,15,13,11,0,668.0,542.0,0,69,76048.0,202423317.0,180517.0,180517.0,0.4510714951297442
748526440,92,26,523.0,471.0,81,23,63,673.0,469.0,24,22,17,17,18,15,13,11,0,668.0,542.0,0,69,76048.0,202423317.0,180517.0,180517.0,0.467569904495977
764443149,90,26,521.0,467.0,82,23,62,681.0,459.0,23,22,17,16,15,15,13,10,0,658.0,544.0,0,69,76048.0,202423317.0,182356.0,182356.0,0.4893831425681164
742000225,90,26,521.0,466.0,82,23,62,680.0,459.0,23,22,17,16,15,15,13,10,0,658.0,543.0,0,69,76048.0,202423317.0,182358.0,182358.0,0.4550507626049061
816089665,90,26,521.0,466.0,83,23,62,680.0,459.0,24,22,17,16,15,15,13,10,0,659.0,543.0,0,69,76048.0,202423317.0,182387.0,182387.0,0.4764981454391889
803720764,90,26,521.0,466.0,83,23,62,680.0,459.0,24,22,17,16,15,15,13,10,0,658.0,543.0,0,70,76048.0,202423317.0,182387.0,182387.0,0.4566879922364208
831605979,91,26,521.0,466.0,83,23,63,682.0,459.0,24,22,17,16,15,15,13,10,0,660.0,543.0,0,70,76048.0,202423317.0,182384.0,182384.0,0.5144363583254841
795939907,91,26,520.0,466.0,83,23,64,681.0,459.0,24,22,18,16,15,15,13,10,0,661.0,543.0,0,69,76048.0,202423317.0,182384.0,182384.0,0.4599019636065047
769549244,90,26,522.0,467.0,85,23,64,684.0,458.0,24,23,19,16,15,15,13,10,0,655.0,551.0,1,70,76027.0,202360884.0,185957.0,185957.0,0.4833277736151125
805160457,90,26,522.0,467.0,84,23,64,684.0,458.0,24,23,19,16,15,14,13,10,0,654.0,551.0,1,70,76027.0,202360884.0,185980.0,185980.0,0.460298671469387
790032616,89,26,518.0,466.0,85,23,64,679.0,457.0,25,23,19,16,15,14,13,10,0,650.0,551.0,1,69,75951.0,202254501.0,184285.0,184285.0,0.5373755720682399
895121207,89,26,520.0,465.0,85,23,64,681.0,454.0,27,24,19,16,14,14,13,10,0,650.0,552.0,1,69,75996.0,202369472.0,186848.0,186848.0,0.5019470485092076
787273524,89,26,520.0,465.0,86,23,66,680.0,457.0,28,24,19,16,14,14,13,10,0,651.0,554.0,1,69,75996.0,202369472.0,187062.0,187062.0,0.5279923632221133
738251382,89,26,519.0,467.0,86,23,67,682.0,457.0,28,24,19,16,14,14,13,10,0,651.0,556.0,1,69,75996.0,202369472.0,187085.0,187085.0,0.4724059672203687
748766430,87,27,511.0,463.0,87,23,67,684.0,443.0,28,24,19,17,14,13,13,10,0,637.0,557.0,1,70,75834.0,202142934.0,183364.0,183364.0,0.45585409209471506
716755359,87,27,508.0,463.0,88,23,67,683.0,442.0,28,24,19,17,14,13,13,10,0,636.0,558.0,1,68,75834.0,202142934.0,183522.0,183522.0,0.5269900050252906
806784283,87,27,508.0,463.0,88,23,67,683.0,442.0,28,24,19,17,14,13,13,10,0,636.0,558.0,1,68,75834.0,202142934.0,183522.0,183522.0,0.4640019563045011
826806882,87,27,507.0,463.0,88,23,67,683.0,441.0,28,24,19,17,14,13,13,10,0,636.0,558.0,1,67,75834.0,202142934.0,183522.0,183522.0,0.47719740897516433
834608030,87,27,507.0,463.0,88,23,67,683.0,441.0,28,24,19,17,14,13,13,10,0,636.0,558.0,1,67,75834.0,202142934.0,183522.0,183522.0,0.5264828059698216
773589791,87,27,508.0,464.0,88,23,67,683.0,443.0,28,24,19,17,14,13,13,10,0,636.0,560.0,1,67,75834.0,202142934.0,183488.0,183488.0,0.4770474039077322
794344541,85,27,507.0,459.0,87,23,67,680.0,436.0,28,25,19,17,14,13,13,10,0,629.0,558.0,3,65,75630.0,201469969.0,184146.0,184146.0,0.5020336890016208
808102072,86,27,507.0,459.0,87,23,67,681.0,436.0,28,25,19,17,14,13,13,10,0,629.0,559.0,3,65,75630.0,201469969.0,184146.0,184146.0,0.46209209087642855
820130466,87,27,509.0,460.0,87,23,68,683.0,436.0,31,25,19,17,14,13,13,10,0,633.0,560.0,3,65,75659.0,201533652.0,183926.0,183926.0,0.530026601926982
889592333,88,27,510.0,461.0,85,23,68,684.0,436.0,31,25,19,17,14,13,13,10,0,632.0,562.0,4,64,75659.0,201533652.0,184348.0,184348.0,0.5114269877015868
789461096,88,27,509.0,461.0,85,23,69,684.0,436.0,31,25,19,17,14,13,13,10,0,633.0,562.0,4,63,75659.0,201533652.0,184283.0,184283.0,0.5223431082096123
766601287,88,27,510.0,460.0,85,23,69,684.0,436.0,31,25,19,17,14,13,13,10,0,633.0,562.0,4,63,75659.0,201533652.0,184289.0,184289.0,0.5034990740492876
795497643,87,28,514.0,464.0,85,23,69,684.0,443.0,31,25,19,17,15,13,13,10,0,643.0,561.0,4,62,75629.0,201552984.0,184994.0,184994.0,0.4730730719351015
769227145,87,28,514.0,463.0,85,23,69,684.0,442.0,31,25,19,17,15,13,13,10,0,643.0,560.0,4,62,75629.0,201552984.0,185027.0,185027.0,0.5211503714793471
488959596,88,28,515.0,464.0,86,23,69,685.0,445.0,31,25,19,17,15,13,13,10,0,643.0,563.0,4,63,75629.0,201552984.0,185138.0,185138.0,0.44461855784159743
157508959,88,28,515.0,465.0,86,23,69,685.0,445.0,31,25,20,17,15,13,13,10,0,643.0,564.0,4,63,75629.0,201552984.0,185107.0,185107.0,0.334531842434836
185950988,88,28,516.0,465.0,86,23,69,686.0,445.0,31,25,20,17,15,13,13,10,0,643.0,564.0,5,63,75629.0,201552984.0,185107.0,185107.0,0.3796233566414071
240715017,88,28,516.0,465.0,86,23,69,686.0,445.0,31,25,20,17,15,13,13,10,0,643.0,564.0,5,63,75629.0,201552984.0,185107.0,185107.0,0.41874705085579644
289915230,87,28,510.0,462.0,88,23,69,680.0,444.0,31,26,20,17,15,13,13,8,0,643.0,562.0,5,57,75682.0,201642268.0,185157.0,185157.0,0.4224558129019809
301581711,87,28,511.0,462.0,88,23,71,683.0,444.0,31,26,20,17,15,13,13,8,0,646.0,562.0,5,57,75682.0,201642268.0,185166.0,185166.0,0.47912291315009276
314353861,87,29,511.0,463.0,88,23,71,684.0,445.0,31,26,20,17,15,13,13,8,0,648.0,562.0,5,57,75682.0,201642268.0,185196.0,185196.0,0.38145408014491794
334901837,86,29,510.0,463.0,88,23,71,683.0,444.0,31,26,20,17,15,13,13,8,0,646.0,562.0,5,57,75682.0,201642268.0,181083.0,181083.0,0.38051464431596677
295332630,86,29,510.0,463.0,88,23,71,683.0,444.0,31,26,20,17,15,13,13,8,0,647.0,561.0,5,57,75682.0,201642268.0,181083.0,181083.0,0.4170123091332547
293850334,86,29,511.0,463.0,88,23,71,684.0,444.0,31,26,20,17,15,13,13,8,0,648.0,561.0,5,57,75682.0,201642268.0,181148.0,181148.0,0.3925767029359429
280786946,85,29,513.0,463.0,88,23,71,684.0,445.0,32,26,20,17,15,13,13,7,0,648.0,559.0,6,59,75682.0,201642268.0,181112.0,181112.0,0.37890331091131174
263971326,85,29,515.0,462.0,88,23,71,684.0,446.0,32,26,20,17,15,13,13,7,0,647.0,561.0,6,59,75682.0,201642268.0,181060.0,181060.0,0.44778001256513067
335586187,85,29,516.0,462.0,87,23,71,685.0,445.0,32,26,20,17,15,13,13,7,0,648.0,560.0,6,59,75682.0,201642268.0,181060.0,181060.0,0.4060942982445365
339235619,85,29,516.0,462.0,87,23,71,685.0,445.0,32,26,20,17,15,13,13,7,0,648.0,560.0,6,59,75682.0,201642268.0,183008.0,183008.0,0.45497506015116435
360229009,85,29,516.0,462.0,87,23,71,685.0,445.0,32,26,20,17,15,13,13,7,0,648.0,560.0,6,59,75682.0,201642268.0,183008.0,183008.0,0.4496714810654039
395308683,85,29,517.0,462.0,87,23,71,686.0,445.0,32,26,20,17,15,13,13,7,0,648.0,560.0,7,59,75682.0,201642268.0,182952.0,182952.0,0.48480113374974243
404135435,86,29,516.0,462.0,87,23,71,693.0,439.0,32,26,20,18,14,13,13,6,0,651.0,557.0,7,59,75682.0,201642268.0,185540.0,185540.0,0.5299454539352964
409838620,85,29,515.0,461.0,87,23,71,690.0,439.0,32,26,20,18,14,13,13,6,0,651.0,554.0,7,59,75682.0,201642268.0,185462.0,185462.0,0.48080505759935094
446236356,85,29,515.0,461.0,87,23,71,690.0,440.0,31,26,20,18,14,13,13,6,0,650.0,555.0,7,59,75682.0,201642268.0,185635.0,185635.0,0.474796948661955
483193786,86,29,515.0,460.0,87,23,71,686.0,439.0,34,25,20,18,17,13,13,6,0,649.0,557.0,7,58,75595.0,201454487.0,166966.0,166966.0,0.4874694772710184
451278683,86,29,513.0,460.0,86,23,71,684.0,438.0,34,25,20,18,17,13,13,6,0,649.0,556.0,6,57,75595.0,201454487.0,166977.0,166977.0,0.4498258174094482
432993615,86,29,513.0,460.0,86,23,71,684.0,438.0,34,25,20,18,17,13,13,6,0,649.0,556.0,6,57,75595.0,201454487.0,166977.0,166977.0,0.48550975459536244
372156170,85,29,513.0,460.0,84,23,71,678.0,437.0,33,25,20,17,17,13,13,7,5,648.0,555.0,6,56,75595.0,201454487.0,169562.0,169562.0,0.44431515018200346
407456172,85,29,513.0,460.0,84,23,71,678.0,437.0,33,25,20,17,17,13,13,7,5,648.0,555.0,6,56,75595.0,201454487.0,169562.0,169562.0,0.5220015062255177
491526493,84,29,512.0,459.0,84,23,71,678.0,434.0,33,25,20,17,17,13,13,7,5,648.0,553.0,6,55,75595.0,201454487.0,169460.0,169460.0,0.4840090236952187
482816089,83,29,507.0,454.0,82,22,71,664.0,434.0,33,25,20,17,17,13,13,7,5,639.0,548.0,7,54,74400.0,198790730.0,166154.0,166154.0,0.46185824249195134
492268521,83,29,507.0,454.0,82,22,71,664.0,433.0,33,25,21,17,17,13,13,7,5,639.0,548.0,7,54,74400.0,198790730.0,166149.0,166149.0,0.44851021924527723
496856365,83,30,507.0,454.0,82,22,72,666.0,433.0,33,25,21,17,17,13,13,7,5,641.0,548.0,7,54,74400.0,198790730.0,166064.0,166064.0,0.483558872940362
